Order,Issue ID,Issue Link,PR,PR_Number,Version,Review?,Release Critical
1,21113,[Bug]: Second and subsequent calls to plt.polar() return an Axis object and do not plot · Issue #21113 · matplotlib/matplotlib (github.com),MNT: Remove deprecated axes kwargs collision detection (version 2) by lpsinger · Pull Request #19153 · matplotlib/matplotlib (github.com),19153,3.5,,Release Critical
2,20230,ax.twinx().spines.right not accessible from ipython session · Issue #20230 · matplotlib/matplotlib (github.com),,,3.4,,Release Critical
3,20049,"add legend.labelcolor ""argument"" to mplstyle stylesheet · Issue #20049 · matplotlib/matplotlib (github.com)",,,3.3.0,,Release Critical
4,19879,"Using ""drawstyle"" raises AttributeError in errorbar, when yerr is specified. · Issue #19879 · matplotlib/matplotlib (github.com)",Fix errorbar property cycling to match plot. by QuLogic · Pull Request #17930 · matplotlib/matplotlib (github.com),17930,,,Release Critical
5,19779,BUG: matplotlib 3.4.0 -- Scatter with colormap and legend gives TypeError: object of type 'NoneType' has no len() · Issue #19779 · matplotlib/matplotlib (github.com),Clarify color priorities in collections by efiring · Pull Request #18480 · matplotlib/matplotlib (github.com),18480,,,Release Critical
6,19776,Errorbars with yerr fail when fillstyle is specified · Issue #19776 · matplotlib/matplotlib (github.com),,,3.4,,Release Critical
7,19474,Memory leak with CallbackRegistry · Issue #19474 · matplotlib/matplotlib (github.com),Require calling a _BoundMethodProxy to get the underlying callable. by anntzer · Pull Request #9084 · matplotlib/matplotlib (github.com),9084,,yes,Release Critical
8,19432,Unexpected change in behavior in plt.subplot · Issue #19432 · matplotlib/matplotlib (github.com),MNT: Remove deprecated axes kwargs collision detection (version 2) by lpsinger · Pull Request #19153 · matplotlib/matplotlib (github.com),19153,,yes,Release Critical
9,17542,Matplotlib 3.2.1 savefig empty image when fig size matches data size exactly · Issue #17542 · matplotlib/matplotlib (github.com),Disable draw_foo methods on renderer used to estimate tight extents. by anntzer · Pull Request #16734 · matplotlib/matplotlib (github.com),16734,,,Release Critical
10,16898,EPS and `usetex` give blank output · Issue #16898 · matplotlib/matplotlib (github.com),Reuse TexManager implementation in convert_psfrags. by anntzer · Pull Request #14833 · matplotlib/matplotlib (github.com),14833,,,Release Critical
11,21110,Qt swapping ctrl and cmd on OSX · Issue #21110 · matplotlib/matplotlib (github.com),Simple GUI interface enhancements by pelson · Pull Request #851 · matplotlib/matplotlib (github.com),851,,,Release Critical
12,14042,dynamic_image.py + saving animation broken · Issue #14042 · matplotlib/matplotlib (github.com),Add an option to log progress while saving animations by SBCV · Pull Request #13564 · matplotlib/matplotlib (github.com),13564,,,Release Critical
13,12817,Multiple places where Type Errors on cbook.warn_deprecated will happen · Issue #12817 · matplotlib/matplotlib (github.com),Make arguments to @deprecated/warn_deprecated keyword-only. by anntzer · Pull Request #12440 · matplotlib/matplotlib (github.com),12440,,,Release Critical
14,12550,colorbar resizes in animation · Issue #12550 · matplotlib/matplotlib (github.com),ENH: adjustable colorbar ticks by jklymak · Pull Request #9903 · matplotlib/matplotlib (github.com),9903,,,Release Critical
15,11629,Importing qt_compat when no Qt binding is installed fails with NameError instead of ImportError · Issue #11629 · matplotlib/matplotlib (github.com),Fix shims with PyQt5 5.11 by QuLogic · Pull Request #11500 · matplotlib/matplotlib (github.com),11500,,,Release Critical
16,10003,Typo in mlab.cohere · Issue #10003 · matplotlib/matplotlib (github.com),Additional cleanups by anntzer · Pull Request #7547 · matplotlib/matplotlib (github.com),7547,,,Release Critical
17,9729,plt.pause() with notebook backend causes error · Issue #9729 · matplotlib/matplotlib (github.com),Remove start_event_loop_default. Let pause() run the event loop for all backends. by anntzer · Pull Request #8867 · matplotlib/matplotlib (github.com),8867,,,Release Critical
18,9332,Qt backend figureoptions.py does not work due to change in image.py · Issue #9332 · matplotlib/matplotlib (github.com),Fix poorly done deprecations in image.py. by anntzer · Pull Request #9335 · matplotlib/matplotlib (github.com),9335,,,Release Critical
19,9134,"segfault (""recursive repaint"") with Qt5Agg · Issue #9134 · matplotlib/matplotlib (github.com)",Don't call draw() twice when Qt canvas first appears. by anntzer · Pull Request #9103 · matplotlib/matplotlib (github.com),9103,,,Release Critical
20,7901,Allow multiple hatch colors in same figure · Issue #7901 · matplotlib/matplotlib (github.com),Make hatch colour an rcParam. by QuLogic · Pull Request #7415 · matplotlib/matplotlib (github.com),7415,,,Release Critical
21,7901,Allow multiple hatch colors in same figure · Issue #7901 · matplotlib/matplotlib (github.com),Hatching in legends is broken · Issue #7166 · matplotlib/matplotlib (github.com),7166,,,Release Critical
22,7202,Colorbar with SymmetricalLogLocator : issue when handling only negative values · Issue #7202 · matplotlib/matplotlib (github.com),Proposed change to default log scale tick formatting by zblz · Pull Request #5161 · matplotlib/matplotlib (github.com),5161,,,Release Critical
23,6685,2.0 dev legend breaks on scatterplot · Issue #6685 · matplotlib/matplotlib (github.com),"Legend default style change: smaller, no border by efiring · Pull Request #6424 · matplotlib/matplotlib (github.com)",6424,,,Release Critical
24,3304,1.4.0 RC1+7: *** glibc detected *** python: corrupted double-linked list · Issue #3304 · matplotlib/matplotlib (github.com),Fix various memory leaks discovered through valgrind by mdboom · Pull Request #3258 · matplotlib/matplotlib (github.com),3258,,,Release Critical
25,3199,"triplot, etc examples broken by merged PR #3182 · Issue #3199 · matplotlib/matplotlib (github.com)","triplot, etc examples broken by merged PR #3182 · Issue #3199 · matplotlib/matplotlib (github.com)",3182,,,Release Critical
26,3199,"triplot, etc examples broken by merged PR #3182 · Issue #3199 · matplotlib/matplotlib (github.com)",[examples/api] autopep8 + use np.radians/np.degree where appropriate by thisch · Pull Request #3181 · matplotlib/matplotlib (github.com),3181,,,Release Critical
27,19787,Marker sizes in Axes3D scatter plot are changing all the time · Issue #19787 · matplotlib/matplotlib (github.com),FIX: Add get/set methods for 3D collections by tacaswell · Pull Request #18189 · matplotlib/matplotlib (github.com),18189,,,Release Critical
28,19576,duplicate pick events firing · Issue #19576 · matplotlib/matplotlib (github.com),Fix interaction with unpickled 3d plots. by anntzer · Pull Request #16220 · matplotlib/matplotlib (github.com),16220,,,Release Critical
29,19544,Regression in 3.4.0rc1 in creating ListedColormap from a set · Issue #19544 · matplotlib/matplotlib (github.com),Speedup LinearSegmentedColormap.from_list. by anntzer · Pull Request #19287 · matplotlib/matplotlib (github.com),19287,,,Release Critical
30,18939,Warn re: Axes3D constructor behavior change in mpl3.4 · Issue #18939 · matplotlib/matplotlib (github.com),Prepare for merging SubplotBase into AxesBase. by anntzer · Pull Request #18564 · matplotlib/matplotlib (github.com),18564,,,Release Critical
31,18885,3D Scatter Plot with Colorbar is not saved correctly with savefig · Issue #18885 · matplotlib/matplotlib (github.com),Fix marker overlap by timhoffm · Pull Request #17378 · matplotlib/matplotlib (github.com),17378,,,Release Critical
32,18303,Canvas redraws during any motion when Button is present · Issue #18303 · matplotlib/matplotlib (github.com),Fix Button widget motion callback. by QuLogic · Pull Request #17133 · matplotlib/matplotlib (github.com),17133,,,Release Critical
33,18020,"Scatter3D: facecolor or color to ""none"" leads to an error · Issue #18020 · matplotlib/matplotlib (github.com)",Vectorize mplot3d.art3d.zalpha. by anntzer · Pull Request #13235 · matplotlib/matplotlib (github.com),13235,,,Release Critical
34,18020,"Scatter3D: facecolor or color to ""none"" leads to an error · Issue #18020 · matplotlib/matplotlib (github.com)",Fix linewidths and colors for scatter() with unfilled markers by timhoffm · Pull Request #17543 · matplotlib/matplotlib (github.com),17543,,,Release Critical
35,17868,plt.bar with nan input fails rendering in notebook using 3.3.0rc1 · Issue #17868 · matplotlib/matplotlib (github.com),Correctly compute path extents by brunobeltran · Pull Request #16832 · matplotlib/matplotlib (github.com),16832,,,Release Critical
36,17773,gtk3 rubberband is invisible · Issue #17773 · matplotlib/matplotlib (github.com),gtk3 rubberband is invisible · Issue #17773 · matplotlib/matplotlib (github.com),10209,,,Release Critical
37,17547,Arcs with large radii in small · Issue #17547 · matplotlib/matplotlib (github.com),Arcs with large radii in small · Issue #17547 · matplotlib/matplotlib (github.com),8047,,,Release Critical
38,17423,Scatter produce multiple colors for a single RGB/RGBA input · Issue #17423 · matplotlib/matplotlib (github.com),Scatter produce multiple colors for a single RGB/RGBA input · Issue #17423 · matplotlib/matplotlib (github.com),13959,,,Release Critical
39,17331,Surprising/changed axis limit (autoscale) behavior · Issue #17331 · matplotlib/matplotlib (github.com),Surprising/changed axis limit (autoscale) behavior · Issue #17331 · matplotlib/matplotlib (github.com),13593,,,Release Critical
40,16978,"savefig(""myplot.svgz"", bbox_inches=""tight"") fails · Issue #16978 · matplotlib/matplotlib (github.com)",Walk the artist tree when preparing for saving with tight bbox. by anntzer · Pull Request #14216 · matplotlib/matplotlib (github.com),14216,,,Release Critical
41,16934,gtk3 window immediately resizes down to zero-height upon showing up. · Issue #16934 · matplotlib/matplotlib (github.com),"Use more _setattr_cm, thus fix Text('').get_window_extent(dpi=...) by QuLogic · Pull Request #16828 · matplotlib/matplotlib (github.com)",16828,,,Release Critical
42,16926,tk window immediately resizes down to zero-height upon showing up. · Issue #16926 · matplotlib/matplotlib (github.com),"Use more _setattr_cm, thus fix Text('').get_window_extent(dpi=...) by QuLogic · Pull Request #16828 · matplotlib/matplotlib (github.com)",16828,,,Release Critical
43,16721,nbAgg backend does not allow saving figures as png · Issue #16721 · matplotlib/matplotlib (github.com),Only set the wait cursor if the last draw was >1s ago. by anntzer · Pull Request #9672 · matplotlib/matplotlib (github.com),9672,,,Release Critical
44,16463,"Jupyter ""inline"" backend seems to misinterpret ""figsize"" with Axes3D · Issue #16463 · matplotlib/matplotlib (github.com)",Only test png output for mplot3d. by anntzer · Pull Request #13901 · matplotlib/matplotlib (github.com),13901,,,Release Critical
45,16448,Bad interaction between shared axes and pcolormesh sticky edges · Issue #16448 · matplotlib/matplotlib (github.com),"Only autoscale_view() when needed, not after every plotting call. by anntzer · Pull Request #13593 · matplotlib/matplotlib (github.com)",13593,,,Release Critical
46,15806,3.2.0 may break some Cartopy tests · Issue #15806 · matplotlib/matplotlib (github.com),FIX: get_datalim for collection by jklymak · Pull Request #13642 · matplotlib/matplotlib (github.com),13642,,,Release Critical
47,15806,3.2.0 may break some Cartopy tests · Issue #15806 · matplotlib/matplotlib (github.com),Don't fallback to view limits when autoscale()ing no data. by anntzer · Pull Request #15258 · matplotlib/matplotlib (github.com),15258,,,Release Critical
48,15611,BUG: Qt5Agg window size regression · Issue #15611 · matplotlib/matplotlib (github.com),Don't bother with manually resizing the Qt main window. by anntzer · Pull Request #14703 · matplotlib/matplotlib (github.com),14703,,,Release Critical
49,14950,plt.ioff() not supressing figure generation · Issue #14950 · matplotlib/matplotlib (github.com),Tell IPython the correct GUI event loop to use for all backends. by anntzer · Pull Request #12637 · matplotlib/matplotlib (github.com),12736,,,Release Critical
50,14950,plt.ioff() not supressing figure generation · Issue #14950 · matplotlib/matplotlib (github.com),Matplotlib plt.show() not working in IPython 7.5/7.6 on macOS · Issue #11837 · ipython/ipython (github.com),11837,,,Release Critical
51,14911,Removing a shared axes via `ax.remove()` leads to an error. · Issue #14911 · matplotlib/matplotlib (github.com),Fix locator/formatter setting when removing shared Axes by dstansby · Pull Request #13983 · matplotlib/matplotlib (github.com),13983,,,Release Critical
52,14911,Removing a shared axes via `ax.remove()` leads to an error. · Issue #14911 · matplotlib/matplotlib (github.com),Remove()ing a shared axes prevents the remaining axes from using unit-provided formatters · Issue #12853 · matplotlib/matplotlib (github.com),12853,,,Release Critical
53,14675,Heatmaps are being truncated when using with seaborn · Issue #14675 · matplotlib/matplotlib (github.com),Fix inversion of 3d axis. by anntzer · Pull Request #14579 · matplotlib/matplotlib (github.com),14579,,,Release Critical
54,14577,Calling invert_yaxis() on a 3D plot has either no effect or removes ticks · Issue #14577 · matplotlib/matplotlib (github.com),Add Axis.get_inverted and Axis.set_inverted. by anntzer · Pull Request #13330 · matplotlib/matplotlib (github.com),13330,,,Release Critical
55,14301,scatter() fails on nan-containing input when providing edgecolor · Issue #14301 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/12422,12422,,,Release Critical
56,14301,scatter() fails on nan-containing input when providing edgecolor · Issue #14301 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/issues/12801,12801,,,Release Critical
57,14265,symlog looses some points since 3.1.0 (example given) · Issue #14265 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/12422,12422,,,Release Critical
58,14054,ticks sometimes disappear when zooming interactively · Issue #14054 · matplotlib/matplotlib (github.com),FIX: do not try to manage the visibility of un-drawn ticks by tacaswell · Pull Request #14056 · matplotlib/matplotlib (github.com),13908,3.1,,Release Critical
